recommender,alpha,MAP
Slim-Ials,0.603276496418824,0.016624545501726165
Slim-Ials,0.5912444535606118,0.016609798855323602
Slim-Ials,0.21038173052778075,0.01635433508767913
Slim-Ials,0.14838433020622943,0.01631435880347736
Slim-Ials,0.288824614277981,0.016386846627879818
Slim-Ials,0.5014445376479937,0.01648126086421064
Slim-Ials,0.403503697837972,0.016446693402527173
Slim-Ials,0.5503644253984309,0.016530148370026743
Slim-Ials,0.23836866620770158,0.016366522733098077
Slim-Ials,0.003206437476525714,0.01627527200166845
Slim-Ials,0.08348362101939832,0.01631126350224532
Slim-Ials,0.016517295616753525,0.016278175590611812
Slim-Ials,0.05255834803845105,0.01630341289922699
Slim-Ials,0.7294801136151458,0.01678949927430259
Slim-Ials,0.4088853435559301,0.016451888301156927
Slim-Ials,0.2878685008590497,0.01635614379523566
Slim-Ials,0.7785960602394707,0.016971845035245764
Slim-Ials,0.9091027879761396,0.01775025052017316
Slim-Ials,0.9277369093641306,0.01809824111319975
Slim-Ials,0.33640947506754637,0.01637637920556194
Slim-Ials,0.9479035633337376,0.018450480535381165
Slim-Ials,0.2767082836722521,0.016352623461067955
Slim-Ials,0.993208975775199,0.019695046006989958
Slim-Ials,0.9576913383490557,0.018648824531713352
Slim-Ials,0.9920376492579754,0.019693914794611928
Slim-Ials,0.9986784573765894,0.019767722130293323
Slim-Ials,0.790582267116353,0.017012578855301237
Slim-Ials,0.9914146936988047,0.01965091325241559
Slim-Ials,0.799251999310815,0.0170479159094383
Slim-Ials,0.7822236097312664,0.016938655244813843
Slim-Ials,0.9926693364368313,0.019695719528903727
Slim-Ials,0.7699301263314606,0.01689712327357079
Slim-Ials,0.6765711404614738,0.016736078795766107
Slim-Ials,0.860632809180845,0.01737370301934642
Slim-Ials,0.9593219143469106,0.018694467142695438
Slim-Ials,0.6694134902391267,0.016722674171558653
Slim-Ials,0.6572704771070261,0.016660817125856764
Slim-Ials,0.8705189331865117,0.017446891468380663
Slim-Ials,0.8648316734184256,0.01735031084524041
Slim-Ials,0.9987143085880402,0.019773584659270708
Slim-Ials,0.9937343274617749,0.01970834721511833
Slim-Ials,0.989050617667639,0.01960546434949395
Slim-Ials,0.6108339787937841,0.016598644602587597
Slim-Ials,0.8960876268589102,0.017690814265073095
Slim-Ials,0.8470332899147368,0.017228744955362557
Slim-Ials,0.7381550316597918,0.016851746781089427
Slim-Ials,0.9921132361882777,0.019663250333764846
Slim-Ials,0.867980004809433,0.017428361562118327
Slim-Ials,0.851540238269631,0.017258453492028366
Slim-Ials,0.9741310615230493,0.019152435016413498
Slim-Ials,0.7000724428145066,0.016730136283159728
Slim-Ials,0.8349316498915994,0.017214947563995855
Slim-Ials,0.9783838094822334,0.019248002668521707
Slim-Ials,0.4957357039121246,0.016513894764152687
Slim-Ials,0.8083399596682618,0.01703617414383569
Slim-Ials,0.7194138561819535,0.01681654127550865
Slim-Ials,0.8997178447934604,0.017653622500075086
Slim-Ials,0.9998663638589049,0.019773001466089592
Slim-Ials,0.9157092744335468,0.017831773022470205
Slim-Ials,0.996051960189903,0.01975813662418813
Slim-Ials,0.42056182503483686,0.016427331699185966
Slim-Ials,0.914283006327463,0.01789815627413075
Slim-Ials,0.1772831684031485,0.016323335936876494
Slim-Ials,0.558367944424293,0.016570844262209238
Slim-Ials,0.9889573447134267,0.01957910374419389
Slim-Ials,0.9238429652722396,0.018043345491009288
Slim-Ials,0.9223043248378574,0.017930136290942037
Slim-Ials,0.8342945681566624,0.01721307656682519
Slim-Ials,0.9814227572555196,0.019335846198511367
Slim-Ials,0.9355958791838197,0.018201157509978173
Slim-Ials,0.9981819454379245,0.01977782012369721
Slim-Ials,0.9893280673913615,0.019611251663929852
Slim-Ials,0.8194325209887452,0.017088343594498786
Slim-Ials,0.6030426976655872,0.016624208369760897
Slim-Ials,0.190380776597181,0.016345731184966097
Slim-Ials,0.5495417184462756,0.016529412848344846
Slim-Ials,0.9175454190428984,0.01794484854037483
Slim-Ials,0.8793225112375462,0.01746656909769815
Slim-Ials,0.993123225757451,0.01969460455246943
Slim-Ials,0.7433906731008025,0.01682753873455317
Slim-Ials,0.9500693311030658,0.018501540397120844
Slim-Ials,0.9192476567637371,0.01788708004248032
Slim-Ials,0.8910230622624313,0.01762787031234345
Slim-Ials,0.45228603937936,0.01644482312572151
Slim-Ials,0.8133353453917822,0.017098718301946755
Slim-Ials,0.6407668956731447,0.01663474307256862
Slim-Ials,0.38764445970521666,0.016438561422492833
Slim-Ials,0.9979416902230032,0.019779393564045428
Slim-Ials,0.9981679166940625,0.019774782316953343
Slim-Ials,0.9540001518842331,0.01855460289113726
Slim-Ials,0.9468935144522305,0.018427144766407104
Slim-Ials,0.9382403223132911,0.018202237573039307
Slim-Ials,0.7704093426601909,0.016946707294680733
Slim-Ials,0.8769615977366074,0.01744464850893804
Slim-Ials,0.8532219443358776,0.017327949683952713
Slim-Ials,0.9875762737289046,0.01953989888772641
Slim-Ials,0.9585875593401059,0.018717329119327372
Slim-Ials,0.8203099629876494,0.01709136391456312
Slim-Ials,0.9947949950423529,0.01972347539147473
Slim-Ials,0.9997546036430055,0.019769591138142806
Slim-Ials,0.8978715288287761,0.01770786144950409
Slim-Ials,0.9424532506565071,0.018293238239076786
Slim-Ials,0.006312799457821705,0.016295184016803816
Slim-Ials,0.8967850277893954,0.01762965778175904
Slim-Ials,0.9556119874207569,0.018637815480381126
Slim-Ials,0.06976256362179056,0.016289644915923374
Slim-Ials,0.9930588726619735,0.01969283153417916
Slim-Ials,0.9962763183816649,0.019758216868160733
Slim-Ials,0.9120864151092228,0.017876013965126007
Slim-Ials,0.9347822890051379,0.018141285910252977
Slim-Ials,0.996033243124592,0.01975700599975666
Slim-Ials,0.849071465108264,0.017238351341705947
Slim-Ials,0.9503615493121305,0.01850818297518179
Slim-Ials,0.9956214675475216,0.01974802984751885
Slim-Ials,0.8713300444122323,0.017455451584959487
Slim-Ials,0.7624006123411884,0.016917124388653906
Slim-Ials,0.9584496849772859,0.018667445046607486
Slim-Ials,0.9687302160578646,0.018995418412465968
Slim-Ials,0.7816433872815596,0.01693425492845622
Slim-Ials,0.888021465426923,0.017596756431446047
Slim-Ials,0.9988644304375428,0.019764000927592125
Slim-Ials,0.9922022784660347,0.01969547182214054
Slim-Ials,0.8944240825383801,0.01760315820553437
Slim-Ials,0.8231545263047799,0.017146824325870252
Slim-Ials,0.953322204866079,0.018538201209422952
Slim-Ials,0.9157537346447612,0.017918509086149618
Slim-Ials,0.8441675277560836,0.01721850802129533
Slim-Ials,0.9988493094213676,0.01976877093259616
Slim-Ials,0.9980459368490623,0.01978214326612957
Slim-Ials,0.9626799335475644,0.018840631423884528
Slim-Ials,0.95462562897419,0.0185692748353225
Slim-Ials,0.9364021551882009,0.018214937950175043
Slim-Ials,0.9150969943269109,0.017828523173482075
Slim-Ials,0.8556634854640308,0.01734315178469134
Slim-Ials,0.9654421238157084,0.018863167108053386
Slim-Ials,0.971847341574399,0.01908561344101527
Slim-Ials,0.8829979941292724,0.017495585854245557
Slim-Ials,0.9994234287651681,0.01976780589272302
Slim-Ials,0.9252555556757132,0.017980449274510247
Slim-Ials,0.9281718477979857,0.018104336415594544
Slim-Ials,0.36778043253363146,0.016391717244100455
Slim-Ials,0.9918627934380353,0.019688306680419102
Slim-Ials,0.9924549581328609,0.019674281792843296
Slim-Ials,0.997892010784287,0.019770877477151883
Slim-Ials,0.9664934351172095,0.01888889591188525
Slim-Ials,0.8869139622130291,0.017585846741427987
Slim-Ials,0.21409817498757922,0.016334353665582644
Slim-Ials,0.29772777771119463,0.016390799305604404
Slim-Ials,0.9993194915661431,0.019762323803593766
Slim-Ials,0.9634021693176371,0.018857948693252618
Slim-Ials,0.9997701535252117,0.019769205414852532
Slim-Ials,0.9287084692013555,0.018112762979161395
Slim-Ials,0.9145609867521023,0.017820303098725624
Slim-Ials,0.9707101503196387,0.019050357876821637
Slim-Ials,0.9997612692163438,0.019768491103724247
Slim-Ials,0.5008063374674879,0.016519304494139495
Slim-Ials,0.9993550478165992,0.019762790601480073
Slim-Ials,0.9372668351795359,0.018180808697772628
Slim-Ials,0.9974449037472867,0.01977562569319478
Slim-Ials,0.8714337777025997,0.01740107296048631
Slim-Ials,0.944205368560525,0.018369576758571152
Slim-Ials,0.967122828423444,0.018906260090788222
Slim-Ials,0.9054743359702151,0.017791939049132042
Slim-Ials,0.900417867593853,0.01765646057556972
Slim-Ials,0.9725726119779778,0.019104595490200948
Slim-Ials,0.8093522033115373,0.017040894748521423
Slim-Ials,0.93759714661727,0.01823605433947049
Slim-Ials,0.9686244635184643,0.018943537912722175
Slim-Ials,0.8758893487658315,0.017501758873207693
Slim-Ials,0.9952650640921996,0.01974059968107132
Slim-Ials,0.6469964129992581,0.016687347763764602
Slim-Ials,0.9332513114308162,0.018115608899251477
Slim-Ials,0.11044842870880195,0.01631924079336999
Slim-Ials,0.9991522806718393,0.019764379332823823
Slim-Ials,0.8432103179063263,0.017263644462362983
Slim-Ials,0.9691598678131399,0.018964012612298565
Slim-Ials,0.9974983872343443,0.019776193318119677
Slim-Ials,0.9383190017561098,0.018205348158593603
Slim-Ials,0.997258464576462,0.01976970939337994
Slim-Ials,0.5759424391776939,0.016556557364044187
Slim-Ials,0.9994748195404168,0.019768879214998678
Slim-Ials,0.9758969135381428,0.01915904361050946
Slim-Ials,0.9714760912566746,0.019073531625005285
Slim-Ials,0.8571772079976806,0.01729116698194701
Slim-Ials,0.942592840713289,0.018342541044319306
Slim-Ials,0.9996392966739596,0.019768763084163535
Slim-Ials,0.9734317669825456,0.019129995368116205
Slim-Ials,0.7015229079845725,0.016731513843124258
Slim-Ials,0.909923693174083,0.01785139206146658
Slim-Ials,0.9514708285565139,0.018496765179055855
Slim-Ials,0.9993441643487997,0.019762544823470268
Slim-Ials,0.9070074559788155,0.01772987770941914
Slim-Ials,0.9550912841419429,0.0186304925133477
Slim-Ials,0.9749493338914424,0.01914066737742103
Slim-Ials,0.9208701932658802,0.017994573546475764
Slim-Ials,0.9997029068449489,0.019768076494428258
Slim-Ials,0.9994918097032611,0.019769482411279553
Slim-Ials,0.9755785988748136,0.019185672925699036
Slim-Ials,0.9416482866883604,0.01827855998570575
Slim-Ials,0.9544923606532315,0.018613391196185523
Slim-Ials,0.978493500341351,0.019253462330871007
Slim-Ials,0.9749882761161235,0.019172260380537837
Slim-Ials,0.8869670219603374,0.01753655456364603
Slim-Ials,0.9328711692751598,0.018165380730262703
Slim-Ials,0.8328094470253569,0.01715616662709631
Slim-Ials,0.8975321069444575,0.017706373731349555
Slim-Ials,0.9169964476542053,0.017855694864360252
Slim-Ials,0.9780039632544133,0.019274474509957822
Slim-Ials,0.953390745606852,0.018539870813638927
Slim-Ials,0.998458211766904,0.01977455966372756
Slim-Ials,0.9990557090618529,0.01976234713634394
Slim-Ials,0.9490511864007506,0.018473646350276804
Slim-Ials,0.9992966885764298,0.019761417309095457
Slim-Ials,0.9239595285170933,0.01804521619701882
Slim-Ials,0.9760944916501049,0.01916494183850292
Slim-Ials,0.9968206460999396,0.01976206675094785
Slim-Ials,0.9467209941190219,0.018383774024438606
Slim-Ials,0.9767087327203653,0.01923631707891019
Slim-Ials,0.9313512152903424,0.018079765615580553
Slim-Ials,0.9999701903891396,0.019770024141313736
Slim-Ials,0.4983927474003637,0.016480197024772412
Slim-Ials,0.9583549226071515,0.0187142030102668
Slim-Ials,0.9807143418324826,0.019315922183621593
Slim-Ials,0.9816462535566806,0.01938486696077302
Slim-Ials,0.9995228856538789,0.01976342003557729
Slim-Ials,0.9398742068411279,0.018289289874527933
Slim-Ials,0.9049761805607309,0.01770695295146886
Slim-Ials,0.9991449712225926,0.019760703135403433
Slim-Ials,0.9587065317724784,0.01867350506009174
Slim-Ials,0.9058056731537494,0.017797207832679813
Slim-Ials,0.9801153290279773,0.019292768410980543
Slim-Ials,0.9564757858022571,0.0186596569806192
Slim-Ials,0.9999398745563798,0.01977044661122661
Slim-Ials,0.8850141144667107,0.01757826694933222
Slim-Ials,0.9553671158695152,0.018585689763219407
Slim-Ials,0.9843535159459109,0.01947716579330551
Slim-Ials,0.9292380259061337,0.018040326166280606
Slim-Ials,0.9979245146192276,0.019770968062582172
Slim-Ials,0.9736641353589246,0.019094757713634555
Slim-Ials,0.9632773387033394,0.018853817275897845
Slim-Ials,0.9977290309069026,0.01977930482216173
Slim-Ials,0.9996459765321926,0.019771106819823057
Slim-Ials,0.9532172006316652,0.018536279179459367
Slim-Ials,0.9217767716566442,0.018009688852935735
Slim-Ials,0.9259930874380807,0.01799092101133583
Slim-Ials,0.9432206868919799,0.018352280304793443
Slim-Ials,0.9750061173824505,0.01914229382533343
Slim-Ials,0.9770886096894511,0.019251384621986955
Slim-Ials,0.8760645372978089,0.017435578973071943
Slim-Ials,0.3656309901817535,0.01642505965254648
Slim-Ials,0.9951723983856497,0.019740539285961704
Slim-Ials,0.9609899409558865,0.018789922641951822
Slim-Ials,0.999995006331475,0.019770995413365067
Slim-Ials,0.5574919496930169,0.01656932913841594
Slim-Ials,0.962860626888098,0.018785388763591416
Slim-Ials,0.9972099124942504,0.019767599845080582
Slim-Ials,0.9802917011589207,0.019298233883609423
Slim-Ials,0.9992688839115368,0.01976084416825519
Slim-Ials,0.999227348493292,0.01976295995647186
Slim-Ials,0.9779274688916362,0.019271303929658354
Slim-Ials,0.9415170447332936,0.018274027862029543
Slim-Ials,0.9372853606375108,0.01822643440223475
Slim-Ials,0.9126559875229571,0.01779152028240778
Slim-Ials,0.9567131108169813,0.018665640578675917
Slim-Ials,0.9644637746239241,0.01883992277063467
Slim-Ials,0.9781774115134241,0.01927995734677897
Slim-Ials,0.9807123507243505,0.019315368334397443
Slim-Ials,0.9308521962737486,0.018139004631873592
Slim-Ials,0.04576046099046799,0.016284127365114465
Slim-Ials,0.9815984834993405,0.01938201609618079
Slim-Ials,0.9981798646944764,0.019778203414578695
Slim-Ials,0.9550508036301483,0.018628685357753597
Slim-Ials,0.9992306220365818,0.01976296980666353
Slim-Ials,0.9992033837474258,0.019757767742143217
Slim-Ials,0.9399334142724618,0.01824205734967381
Slim-Ials,0.9991486716484318,0.019760462827138475
Slim-Ials,0.9691651529201281,0.018964242949908405
Slim-Ials,0.9712514164994225,0.019068482530166686
Slim-Ials,0.9549040308551171,0.018576244213408685
Slim-Ials,0.9990208392091136,0.01976752738743787
Slim-Ials,0.31133808867171253,0.01636677606522388
Slim-Ials,0.9621029568574998,0.018829097835716273
Slim-Ials,0.9998257757994355,0.01976976142938897
Slim-Ials,0.9461018593639426,0.018410062932352242
Slim-Ials,0.9250136000898864,0.01797633776893214
Slim-Ials,0.9795768125311165,0.019310737311188177
Slim-Ials,0.9772072406585758,0.019199083071381826
Slim-Ials,0.9096232273637389,0.017848884931600927
Slim-Ials,0.8931247507485083,0.01758995307298347
Slim-Ials,0.9334963399423087,0.018173274410785506
Slim-Ials,0.9984654544185627,0.01977136755753076
Slim-Ials,0.7057252484760429,0.016785096496299702
Slim-Ials,0.984235342314519,0.01943312926240944
Slim-Ials,0.9995066846205619,0.019770668335608737
Slim-Ials,0.9536113705849159,0.018543239784071467
Slim-Ials,0.980114334005271,0.019328389264947052
Slim-Ials,0.9999408544711607,0.019770523197379097
Slim-Ials,0.9982717478823921,0.01977703710506271
Slim-Ials,0.9994614028140943,0.01976291525069025
Slim-Ials,0.9623574640789032,0.01883588438736871
Slim-Ials,0.9771105045854729,0.01919669368759162
Slim-Ials,0.9803563200268799,0.019336253400844838
Slim-Ials,0.9420795377990003,0.01828856034715549
Slim-Ials,0.9521959335952802,0.018559467131347804
Slim-Ials,0.9661779151885779,0.018879860673544635
Slim-Ials,0.98490032053539,0.019486232026687266
Slim-Ials,0.9815067367366176,0.019338826183096843
Slim-Ials,0.9975188542502565,0.019775354139086994
Slim-Ials,0.9497021160585446,0.01845501874600009
Slim-Ials,0.9686232793283539,0.01899296343185289
Slim-Ials,0.9986441627896273,0.01976900812556678
Slim-Ials,0.9234643470030125,0.01803872303746694
Slim-Ials,0.9830452866963001,0.01939806755755222
Slim-Ials,0.9990261225037632,0.019767208033186563
Slim-Ials,0.9976526182128008,0.019778811662351983
Slim-Ials,0.9786272012512509,0.019290014719399874
Slim-Ials,0.9562694096962248,0.018610023567642867
Slim-Ials,0.9495579364476139,0.0184877760172293
Slim-Ials,0.9987052667808066,0.019768371794872133
Slim-Ials,0.9971544902669671,0.019768923540827026
Slim-Ials,0.9263678721102792,0.017998169787905322
Slim-Ials,0.9652920285707776,0.01891160821442997
Slim-Ials,0.9659523201582406,0.018875014793243525
Slim-Ials,0.9987872420725988,0.0197718490795606
Slim-Ials,0.9799017264340328,0.019290972241897433
Slim-Ials,0.9458270870865009,0.01840573517835407
Slim-Ials,0.9991517480654649,0.01976438525043483
Slim-Ials,0.9814743388391093,0.01937401587407199
Slim-Ials,0.9414481190010202,0.0182746114909707
Slim-Ials,0.963256417998461,0.018853825631902178
Slim-Ials,0.9995778301343838,0.019764951306363025
Slim-Ials,0.998587991244807,0.019776828874966842
Slim-Ials,0.9663628179845527,0.018883041321786004
Slim-Ials,0.9995484210085538,0.019772860248072673
Slim-Ials,0.9832457916142563,0.01940211434459862
Slim-Ials,0.9808604468039294,0.019355744112840943
Slim-Ials,0.9995426171865195,0.019763320383845633
Slim-Ials,0.9995326152892716,0.019771485180737083
Slim-Ials,0.9688053833510123,0.018950706196433173
Slim-Ials,0.9659867327526293,0.018930823754265757
Slim-Ials,0.9509067020204596,0.01848126183275386
Slim-Ials,0.9992505282501162,0.019760890554804372
Slim-Ials,0.25264609920003345,0.016344916040948943
Slim-Ials,0.940551055827576,0.018302424314248573
Slim-Ials,0.9791252898939846,0.019268407978757864
Slim-Ials,0.9792725767327417,0.019308725134874416
Slim-Ials,0.9362628661178898,0.018169656800624778
Slim-Ials,0.9677077086632766,0.01896788856546457
Slim-Ials,0.9817288357670368,0.01934623537119561
Slim-Ials,0.9994137347560882,0.019766676750201145
Slim-Ials,0.9944114246215868,0.01972285038059284
Slim-Ials,0.1889104725454437,0.016346126771644095
Slim-Ials,0.9988842242960957,0.01976398891668071
Slim-Ials,0.9500702982501604,0.018501540397120844
Slim-Ials,0.961500058329443,0.018745629758990644
Slim-Ials,0.9804274329301311,0.019339011415185698
Slim-Ials,0.9990272859563061,0.01976188122354976
Slim-Ials,0.9990250142014968,0.019767078104696564
Slim-Ials,0.9659021449615597,0.018874084459524817
Slim-Ials,0.9816846701936719,0.019387241427928983
Slim-Ials,0.979936620649845,0.01929147820556065
Slim-Ials,0.9611100001842425,0.01879434067520841
Slim-Ials,0.9487750206538389,0.01842984210326622
Slim-Ials,0.9995667384893945,0.01977296259321388
Slim-Ials,0.9234590850805899,0.017949824872636203
Slim-Ials,0.979220020057636,0.019306167836970617
Slim-Ials,0.9810507412288315,0.019330430801070872
Slim-Ials,0.9316289736278857,0.01815325949972839
Slim-Ials,0.9621441336899144,0.018768127258895165
Slim-Ials,0.9601774092465124,0.018762645007704245
Slim-Ials,0.9986521382209492,0.019768266584588357
Slim-Ials,0.999383057481977,0.019765799677821837
Slim-Ials,0.9983498039451282,0.019772044734411943
Slim-Ials,0.9996892551139377,0.019771542140767265
Slim-Ials,0.14079385907639602,0.0163115775939093
Slim-Ials,0.9798441050145005,0.019319981586784597
Slim-Ials,0.9786198540836689,0.019254628130582888
Slim-Ials,0.4484911697156087,0.016477631160356738
Slim-Ials,0.9977738614378866,0.01978005380562659
Slim-Ials,0.9996896959315633,0.019771457078930618
